delivery_id,po_id,supplier_id,product_id,expected_delivery_date,actual_delivery_date,quantity_ordered,quantity_received,on_time,quality_pass,defects_count,phase,notes
DLV-0097,PO-0097,S08,P04,2026-05-25,2026-05-25,50,50,true,true,0,simulation,
DLV-0098,PO-0098,S15,P08,2026-05-27,2026-05-27,125,125,true,true,0,simulation,
DLV-0099,PO-0099,S14,P13,2026-05-23,2026-05-23,500,500,true,true,0,simulation,
DLV-0100,PO-0100,S05,P17,2026-05-27,2026-05-27,50,50,true,true,0,simulation,
DLV-0101,PO-0101,S11,P19,2026-05-20,2026-05-20,150,150,true,true,0,simulation,
DLV-0102,PO-0102,S09,P15,2026-05-21,2026-05-21,50,50,true,true,0,simulation,
DLV-0103,PO-0103,S04,P03,2026-05-23,2026-05-23,450,450,true,true,0,simulation,
DLV-0104,PO-0104,S14,P12,2026-05-27,2026-05-27,1000,1000,true,true,0,simulation,
DLV-0105,PO-0105,S10,P18,2026-05-24,2026-05-24,300,300,true,true,0,simulation,
DLV-0106,PO-0106,S15,P24,2026-05-27,2026-05-27,350,350,true,true,0,simulation,
DLV-0107,PO-0107,S04,P22,2026-05-25,2026-05-25,175,175,true,true,0,simulation,
DLV-0108,PO-0108,S10,P23,2026-05-29,2026-05-29,150,150,true,true,0,simulation,
DLV-0109,PO-0110,S04,P05,2026-05-28,2026-05-28,100,100,true,true,0,simulation,
DLV-0110,PO-0111,S09,P21,2026-05-30,2026-05-30,125,125,true,true,0,simulation,
DLV-0111,PO-0112,S14,P11,2026-06-04,2026-06-04,800,800,true,true,0,simulation,
DLV-0112,PO-0113,S04,P07,2026-05-31,2026-05-31,600,600,true,true,0,simulation,
DLV-0113,PO-0114,S13,P20,2026-05-31,2026-05-31,50,50,true,true,0,simulation,
