invoice_id,invoice_number,po_id,supplier_id,invoice_date,amount,po_amount,matches_po,is_duplicate,payment_status,phase,anomaly_flag
INV-0102,INV-S11-0102,PO-0101,S11,2026-05-23,1831.26,1831.26,true,false,paid,simulation,
INV-0103,INV-S09-0103,PO-0102,S09,2026-05-21,12206.5,12206.5,true,false,paid,simulation,
INV-0104,INV-S04-0104,PO-0103,S04,2026-05-26,46.8,46.8,true,false,paid,simulation,
INV-0105,INV-S14-0105,PO-0104,S14,2026-05-29,19.2,19.2,true,false,paid,simulation,
INV-0106,INV-S10-0106,PO-0105,S10,2026-05-26,251.97,251.97,true,false,paid,simulation,
INV-0107,INV-S15-0107,PO-0106,S15,2026-05-30,1500.1,1500.1,true,false,paid,simulation,
INV-0108,INV-S04-0108,PO-0107,S04,2026-05-28,210.61,210.61,true,false,paid,simulation,
INV-0109,INV-S10-0109,PO-0108,S10,2026-05-30,366.93,366.93,true,false,paid,simulation,
INV-0110,INV-S04-0110,PO-0110,S04,2026-05-28,3503.33,3503.33,true,false,paid,simulation,
INV-0111,INV-S09-0111,PO-0111,S09,2026-06-02,440.96,440.96,true,false,paid,simulation,
INV-0112,INV-S14-0112,PO-0112,S14,2026-06-06,32.32,32.32,true,false,paid,simulation,
INV-0113,INV-S04-0113,PO-0113,S04,2026-06-02,231.66,231.66,true,false,paid,simulation,
INV-0114,INV-S13-0114,PO-0114,S13,2026-06-02,2322.61,2322.61,true,false,paid,simulation,
