supplier_id,product_id,unit_price,supplier_lead_time_days,supplier_moq
S05,P22,1.2379,10,15
S05,P23,2.5665,8,15
S05,P24,4.5719,10,15
S05,P25,0.8215,10,30
S06,P09,0.0705,4,200
S06,P10,0.0445,5,200
S06,P11,0.0349,5,200
S06,P12,0.0165,4,200
S06,P13,0.0505,5,200
S06,P14,1.2941,4,100
S07,P01,0.0442,17,1000
S07,P02,0.1227,16,1000
S07,P03,0.0813,16,1000
S07,P04,6.86,16,500
S07,P05,30.0131,16,200
S07,P06,2.4406,18,500
S07,P07,0.325,16,1000
S07,P08,22.1115,17,200
S07,P09,0.0651,16,1000
S07,P10,0.0416,17,1000
S07,P11,0.033,16,1000
S07,P12,0.0174,18,1000
S07,P13,0.0514,16,1000
S07,P14,1.3113,17,500
S07,P15,205.9212,16,200
S07,P16,10.3622,17,500
S07,P17,6.748,17,500
S07,P18,0.7047,16,1000
S07,P19,12.971,18,500
S07,P20,28.5553,17,200
S07,P21,3.0429,16,500
S07,P22,0.9944,16,500
S07,P23,2.1327,16,500
S07,P24,3.7951,17,500
S07,P25,0.7198,16,1000
S08,P01,0.0497,9,25
S08,P02,0.144,9,25
S08,P03,0.105,7,25
S08,P04,8.3752,7,12
S08,P05,33.8321,8,5
S08,P06,2.9944,8,12
S08,P07,0.4161,7,25
S08,P08,24.6974,8,5
S09,P15,244.1301,2,2
S09,P16,11.7423,3,5
S09,P17,8.3659,3,5
S09,P18,0.8129,2,10
S09,P19,14.4822,2,5
S09,P20,34.012,1,2
S09,P21,3.5277,3,5
S09,P22,1.1473,2,5
S09,P23,2.3893,3,5
S10,P01,0.0499,6,40
S10,P02,0.1449,6,40
S10,P03,0.0958,4,40
S10,P04,7.6548,4,20
S10,P05,35.6132,4,8
S10,P06,2.9711,6,20
S10,P07,0.3898,6,40
S10,P08,23.8494,4,8
S10,P09,0.0794,6,40
S10,P10,0.0503,5,40
S10,P11,0.0417,4,40
S10,P12,0.0203,5,40
S10,P13,0.0584,5,40
S10,P14,1.4446,6,20
S10,P15,244.9999,5,8
S10,P16,12.5148,4,20
S10,P17,7.6075,6,20
S10,P18,0.8399,4,40
S10,P19,14.3599,4,20
S10,P20,35.0206,4,8
S10,P21,3.6516,4,20
S10,P22,1.2455,5,20
S10,P23,2.4462,5,20
S10,P24,4.6502,6,20
S10,P25,0.8332,6,40
S11,P01,0.0426,2,300
S11,P02,0.1315,1,300
S11,P03,0.0887,1,300
S11,P04,7.0985,1,150
S11,P05,29.0493,1,60
S11,P06,2.6118,1,150
S11,P07,0.3323,2,300
S11,P08,20.6351,1,60
S11,P09,0.066,2,300
S11,P10,0.044,2,300
S11,P11,0.034,1,300
S11,P12,0.0163,1,300
S11,P13,0.0527,1,300
S11,P14,1.2117,1,150
S11,P15,215.4137,1,60
S11,P16,9.8548,1,150
S11,P17,6.8351,1,150
S11,P18,0.6841,1,300
S11,P19,12.2084,2,150
S11,P20,30.9517,2,60
S11,P21,2.837,1,150
S11,P22,1.0284,1,150
S11,P23,2.1101,1,150
S11,P24,3.7517,1,150
S11,P25,0.7513,1,300
S12,P01,0.0433,18,600
S12,P02,0.1224,18,600
S12,P03,0.0883,17,600
S12,P04,7.1222,18,300
S12,P05,28.7223,16,120
S12,P06,2.643,16,300
S12,P07,0.353,16,600
S12,P08,20.5686,17,120
S12,P09,0.0699,17,600
S12,P10,0.0438,18,600
S12,P11,0.0351,17,600
S12,P12,0.0164,18,600
S12,P13,0.049,16,600
S12,P14,1.3207,16,300
S13,P01,0.0655,1,5
S13,P02,0.1995,1,5
S13,P03,0.1313,2,5
S13,P04,10.4686,1,5
S13,P05,46.2039,1,2
S13,P06,4.2391,1,5
S13,P07,0.532,2,5
S13,P08,33.4114,2,2
S13,P20,46.4522,1,2
S13,P21,4.5432,1,5
S13,P22,1.5679,1,5
S13,P23,3.2192,2,5
S14,P09,0.0795,7,60
S14,P10,0.0514,6,60
S14,P11,0.0404,7,60
S14,P12,0.0192,7,60
S14,P13,0.0581,5,60
S14,P14,1.5313,5,30
S14,P15,250.498,7,12
S14,P16,12.2242,7,30
S14,P17,8.1896,5,30
S14,P18,0.7891,5,60
S14,P19,15.6733,6,30
S15,P01,0.0506,9,50
S15,P02,0.1552,9,50
S15,P03,0.104,9,50
S15,P04,7.8474,8,25
S15,P05,34.3916,9,10
S15,P06,2.9387,7,25
S15,P07,0.3877,9,50
S15,P08,26.1009,9,10
S15,P09,0.082,7,50
S15,P10,0.0506,8,50
S15,P11,0.0396,7,50
S15,P12,0.0196,7,50
S15,P13,0.0596,9,50
S15,P14,1.516,8,25
S15,P15,249.1247,8,10
S15,P16,12.2108,9,25
S15,P17,7.9785,9,25
S15,P18,0.7736,7,50
S15,P19,14.6757,9,25
S15,P20,35.4653,8,10
S15,P21,3.3577,7,25
S15,P22,1.2207,7,25
S15,P23,2.5766,7,25
S15,P24,4.286,7,25
S15,P25,0.8911,9,50
