po_id,supplier_id,product_id,placed_date,expected_delivery_date,quantity,unit_price,total_amount,status,phase,notes
PO-0078,S13,P05,2026-04-22,2026-04-23,100,46.2039,4620.39,received,simulation,auto reorder
PO-0079,S10,P22,2026-04-22,2026-04-27,175,1.2455,217.96,received,simulation,auto reorder
PO-0080,S02,P04,2026-04-23,2026-04-25,50,10.3704,518.52,received,simulation,auto reorder
PO-0081,S09,P17,2026-04-23,2026-04-26,50,8.3659,418.3,received,simulation,auto reorder
PO-0082,S14,P19,2026-04-23,2026-04-29,50,15.6733,783.66,received,simulation,auto reorder
PO-0083,S02,P15,2026-04-24,2026-04-25,50,353.8762,17693.81,received,simulation,auto reorder
PO-0084,S15,P23,2026-04-24,2026-05-01,150,2.5766,386.49,received,simulation,auto reorder
PO-0085,S11,P11,2026-04-26,2026-04-27,800,0.034,27.2,received,simulation,auto reorder
PO-0086,S13,P21,2026-04-26,2026-04-27,125,4.5432,567.9,received,simulation,auto reorder
PO-0087,S15,P07,2026-04-29,2026-05-08,600,0.3877,232.62,received,simulation,auto reorder
PO-0088,S11,P20,2026-04-30,2026-05-02,60,30.9517,1857.1,received,simulation,auto reorder
PO-0089,S05,P09,2026-05-01,2026-05-09,800,0.0801,64.08,received,simulation,auto reorder
PO-0090,S07,P02,2026-05-02,2026-05-18,1000,0.1227,122.7,received,simulation,auto reorder
PO-0091,S14,P16,2026-05-02,2026-05-09,100,12.2242,1222.42,received,simulation,auto reorder
PO-0092,S07,P06,2026-05-05,2026-05-23,500,2.4406,1220.3,received,simulation,auto reorder
PO-0093,S10,P14,2026-05-06,2026-05-12,125,1.4446,180.58,received,simulation,auto reorder
PO-0094,S15,P10,2026-05-09,2026-05-17,900,0.0506,45.54,received,simulation,auto reorder
PO-0095,S02,P25,2026-05-12,2026-05-15,600,1.1337,680.22,received,simulation,auto reorder
PO-0096,S05,P01,2026-05-14,2026-05-22,300,0.0509,15.27,received,simulation,auto reorder
PO-0097,S08,P04,2026-05-18,2026-05-25,50,8.3752,418.76,received,simulation,auto reorder
PO-0098,S15,P08,2026-05-18,2026-05-27,125,26.1009,3262.61,received,simulation,auto reorder
PO-0099,S14,P13,2026-05-18,2026-05-23,500,0.0581,29.05,received,simulation,auto reorder
PO-0100,S05,P17,2026-05-18,2026-05-27,50,7.6895,384.47,received,simulation,auto reorder
PO-0101,S11,P19,2026-05-18,2026-05-20,150,12.2084,1831.26,received,simulation,auto reorder
PO-0102,S09,P15,2026-05-19,2026-05-21,50,244.1301,12206.5,received,simulation,auto reorder
PO-0103,S04,P03,2026-05-20,2026-05-23,450,0.104,46.8,received,simulation,auto reorder
PO-0104,S14,P12,2026-05-20,2026-05-27,1000,0.0192,19.2,received,simulation,auto reorder
PO-0105,S10,P18,2026-05-20,2026-05-24,300,0.8399,251.97,received,simulation,auto reorder
PO-0106,S15,P24,2026-05-20,2026-05-27,350,4.286,1500.1,received,simulation,auto reorder
PO-0107,S04,P22,2026-05-21,2026-05-25,175,1.2035,210.61,received,simulation,auto reorder
PO-0108,S10,P23,2026-05-24,2026-05-29,150,2.4462,366.93,received,simulation,auto reorder
PO-0109,S07,P05,2026-05-25,2026-06-10,200,30.0131,6002.62,open,simulation,auto reorder
PO-0110,S04,P05,2026-05-26,2026-05-28,100,35.0333,3503.33,received,simulation,auto reorder
PO-0111,S09,P21,2026-05-27,2026-05-30,125,3.5277,440.96,received,simulation,auto reorder
PO-0112,S14,P11,2026-05-28,2026-06-04,800,0.0404,32.32,received,simulation,auto reorder
PO-0113,S04,P07,2026-05-29,2026-05-31,600,0.3861,231.66,received,simulation,auto reorder
PO-0114,S13,P20,2026-05-30,2026-05-31,50,46.4522,2322.61,received,simulation,auto reorder
